exponent,q,depth,n_params,layer_dependent,single_err,opt_err,free_err,single_u,opt_u,free_u,improve,gap,improve_over_single,improve_over_available,Mopt,max_delta_abs,tau_continuous,tau_snapped,dyadic_loss,l1_delta,l2_delta,nnz_mopt10,nnz_1e3,n_zero,top2_mass,time
1/2,1,4,3,False,0.04801885319811061,0.041080793032408074,0.010422740025294662,0.09603769254266492,0.08196979990398066,0.020845298108082607,0.006938060165702538,0.03065805300711341,0.14448616956923763,0.18454195341445923,0.008687241078951025,0.0087890625,0.040684450378373274,0.041080793032408074,0.00039634265403479946,0.017578125,0.01242961138804478,2,2,0,1.0,7.7499542236328125
1/2,2,4,5,False,0.04801885319811061,0.027825719899582053,0.010422740025294662,0.09603769254266492,0.05545218662524139,0.020845298108082607,0.020193133298528558,0.01740297987428739,0.42052510532098863,0.5371069399038116,0.012346430764482646,0.012451171875,0.027696698773733652,0.027825719899582053,0.00012902112584840114,0.03857421875,0.021600582383393227,3,4,0,0.6455696202531646,7.32976222038269
1/2,3,4,7,False,0.04801885319811061,0.03187323864373392,0.010422740025294662,0.09603769254266492,0.06331599423781195,0.020845298108082607,0.016145614554376693,0.021450498618439257,0.33623490523118055,0.4294490358660495,0.00914173262543045,0.009033203125,0.031502909192615274,0.03187323864373392,0.000370329451118645,0.02978515625,0.01587477363965709,4,4,2,0.6065573770491803,7.717504024505615
1/2,5,4,11,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.09603769254266492,0.04386224905374572,0.020845298108082607,0.02601422181107209,0.011581891361743861,0.5417501684962286,0.6919391292257785,0.012543081552921661,0.012451171875,0.021727051925589724,0.022004631387038523,0.00027757946144879933,0.06201171875,0.026908683073154013,6,6,4,0.4015748031496063,7.309387922286987
1/2,7,4,15,False,0.04801885319811061,0.017546370010446868,0.010422740025294662,0.09603769254266492,0.03499047846147793,0.020845298108082607,0.030472483187663744,0.007123629985152206,0.6345941470518655,0.8105221688101796,0.017715265623010047,0.017822265625,0.01729128781039727,0.017546370010446868,0.00025508220004959864,0.105712890625,0.037762959712543995,9,9,5,0.3371824480369515,7.352635145187378
1/2,9,4,19,False,0.04801885319811061,0.010782920685637996,0.010422740025294662,0.09603769254266492,0.02122156829180224,0.020845298108082607,0.03723593251247262,0.0003601806603433337,0.7754440190158005,0.9904197367773709,0.020283615701773672,0.020263671875,0.010422740100537585,0.010782920685637996,0.0003601805851004107,0.2080078125,0.0612778378499116,12,12,5,0.19483568075117372,6.956622838973999
1/2,11,4,23,False,0.04801885319811061,0.010782920685637996,0.010422740025294662,0.09603769254266492,0.02122156829180224,0.020845298108082607,0.03723593251247262,0.0003601806603433337,0.7754440190158005,0.9904197367773709,0.020283615701773672,0.020263671875,0.010422740100537585,0.010782920685637996,0.0003601805851004107,0.2890625,0.07346726483945569,16,16,5,0.14020270270270271,7.028889179229736
1/2,13,4,27,False,0.04801885319811061,0.010782920685637996,0.010422740025294662,0.09603769254266492,0.02122156829180224,0.020845298108082607,0.03723593251247262,0.0003601806603433337,0.7754440190158005,0.9904197367773709,0.020283615701773672,0.020263671875,0.010422740100537585,0.010782920685637996,0.0003601805851004107,0.3701171875,0.08390413931637335,20,20,5,0.10949868073878628,7.159528970718384
1/2,15,4,31,False,0.04801885319811061,0.010782920685637996,0.010422740025294662,0.09603769254266492,0.02122156829180224,0.020845298108082607,0.03723593251247262,0.0003601806603433337,0.7754440190158005,0.9904197367773709,0.020283615701773672,0.020263671875,0.010422740100537585,0.010782920685637996,0.0003601805851004107,0.451171875,0.09317923688167902,24,24,5,0.08982683982683982,7.1114277839660645
