holdout_type,basis,n_features,n_train,n_test,train_corr,train_nrmse,test_corr,test_nrmse,d4_5_nrmse,d4_5_corr,d6_plus_nrmse,d6_plus_corr
partition,H_width,5,896,1488,0.5604872066782657,0.7616578679225818,0.1693322972304795,1.5687557426007777,3.4645818609051915,0.09365020430173279,0.8828021956355475,0.3740004604349945
partition,H_value,1,896,1488,0.8323314190694012,0.5097672426648331,0.8644142509324607,0.4541531551176673,0.5177812667940132,0.852515464814916,0.48698336266503095,0.8528488202298673
partition,H_peak,3,896,1488,0.8287475299127092,0.5146824555965395,0.8584036368881189,0.463046245233909,0.5183088969786118,0.8517523862022314,0.49751184124257614,0.8453113108340062
partition,H_jet,3,896,1488,0.8507029727786127,0.48343490850278975,0.8655913223523696,0.45029341724570654,0.5870653140452399,0.8156634707293255,0.4736617765246666,0.8626819744164332
partition,H_moment,3,896,1488,0.8412485105552663,0.49723211914438226,0.827602807688073,0.5067882225015695,0.8067336081189369,0.6830086408172733,0.48513886462025985,0.8555045755115734
partition,H_balance,5,896,1488,0.8581646934549428,0.4721482058186224,0.8810761082649615,0.4275927516262425,0.482044725541733,0.8734383369269552,0.4602129449788597,0.8698034086741712
partition,H_jet_mc,3,896,1488,0.850702970766648,0.4834349114974554,0.8655912184889656,0.45029356490953837,0.5870660697789293,0.8156631646585646,0.47366177608310833,0.86268197358265
depth,H_width,5,384,1536,0.6408593791676052,0.7107189851913842,0.37419366279372746,1.1030332539508985,,,,
depth,H_value,1,384,1536,0.8319879566591254,0.5136431306328416,0.8328230103335039,0.5070933426763289,,,,
depth,H_peak,3,384,1536,0.829722333826412,0.516774897422019,0.8277523053872329,0.5139090842550021,,,,
depth,H_jet,3,384,1536,0.8561143178256598,0.47845502573964027,0.8413921982855728,0.49365514449011083,,,,
depth,H_moment,3,384,1536,0.8479794514329857,0.4907153992413364,0.8344066516151822,0.5032573923104285,,,,
depth,H_balance,5,384,1536,0.8596640806484215,0.47296787523681016,0.8565523008617378,0.4727252323812982,,,,
depth,H_jet_mc,3,384,1536,0.856114315002716,0.47845503006928997,0.841392197587798,0.4936551465916014,,,,
