kind,name,crossings,area_above,area_below,share_above,share_below
uniform_x,uniform,1,0.04525302123448836,0.040538072712501524,0.28125,0.71875
geometric_x,geometric,37,0.008206003863677038,0.013987972442595838,0.3827924215473142,0.6083675505430692
harmonic_x,harmonic,1,0.03788047345460044,0.012414645804889154,0.4197530864197532,0.5802469135802468
mirror_harmonic_x,mirror-harmonic,1,0.15299858453860485,0.05983978209307202,0.485207100591716,0.514792899408284
ruler_x,ruler,103,0.10396773583062618,0.12403414366550315,0.7499771125148715,0.25002288748512846
sinusoidal_x,sinusoidal,6,0.12241541717675201,0.05663621969326769,0.5605518048246083,0.4394481951753917
chebyshev_x,chebyshev,2,0.12559082017587853,0.06900950861761805,0.7202764348710702,0.2797235651289298
thuemorse_x,thue-morse,59,0.08149464741473528,0.0808304937544563,0.5833333333333366,0.4166666666666634
bitrev_geometric_x,bitrev-geometric,63,0.060008606421001656,0.059820991066876626,0.5331411639433581,0.4668588360566419
stern_brocot_x,stern-brocot,26,0.2039131143945826,0.06664535481363447,0.7510055512232789,0.24899444877672106
reverse_geometric_x,reverse-geometric,1,0.09308387043145686,0.05336640127477954,0.38076486480513627,0.6192351351948637
random_x,random,68,0.18032537079320363,0.11188039078851744,0.7948932818262033,0.20510671817379666
dyadic_x,dyadic,33,0.012162451065496085,0.016965799884633107,0.48876953125,0.51123046875
powerlaw_x,power-law,1,0.11455150005674027,0.024908198594964764,0.5270806113626827,0.4729193886373173
golden_x,golden,55,0.07564975415911174,0.06791852176336725,0.6045983376713249,0.39540166232867513
cantor_x,cantor,13,0.18308909077285024,0.11516695785201299,0.7569444444444442,0.2430555555555558
minkowski_x,minkowski,26,0.2039131143945826,0.06664535481363447,0.7510055512232789,0.24899444877672106
farey_rank_x,farey-rank,48,0.11300102603468096,0.0859095429439904,0.6321317700187674,0.3678682299812326
radical_inverse_x,radical-inverse,1,0.04525302123448836,0.040538072712501524,0.28125,0.71875
sturmian_x,sturmian,71,0.07548197152937049,0.079305028554329,0.6183574879227052,0.3816425120772948
beta_x,beta,2,0.21517633640881517,0.0438166386155813,0.7049602959957237,0.29503970400427626
arc_length_x,arc-length,1,0.016875589051843498,0.03094988769630981,0.693636941630364,0.30636305836963595
minimax_chord_x,minimax-chord,1,0.007826260109688702,0.003353924253233692,0.3577347750129438,0.6422652249870562
