depth,q,n_cells,n_params,opt_err,free_err,gap,binding_m
4,1,16,3,0.038939468614398454,0.007553957776491149,0.031385510837907304,0.957603280698574
4,3,16,7,0.032871926840444154,0.007553957776491149,0.025317969063953005,0.0221368912137070
4,5,16,11,0.02290067459948586,0.007553957776491149,0.01534671682299471,0.576350578678598
4,7,16,15,0.01334310921908266,0.007553957776491149,0.005789151442591511,0.0673907575463357
4,9,16,19,0.0075539675784604965,0.007553957776491149,9.801969347300599e-09,0.384234554654994
4,11,16,23,0.0075539675784604965,0.007553957776491149,9.801969347300599e-09,0.384234554654994
5,1,32,3,0.04089875901770579,0.0038423891631934604,0.03705636985451233,0.0109485743270583
5,3,32,7,0.035935132010005755,0.0038423891631934604,0.032092742846812294,0.0788240666710407
5,5,32,11,0.029242566086363886,0.0038423891631934604,0.025400176923170426,0.339746095048317
5,7,32,15,0.01820925526186601,0.0038423891631934604,0.014366866098672548,0.0109485743270583
5,9,32,19,0.0164616045716538,0.0038423891631934604,0.012619215408460338,0.978572062087700
5,11,32,23,0.014865359247988708,0.0038423891631934604,0.011022970084795247,0.339746095048317
6,1,64,3,0.04225250296533711,0.0019372364815933851,0.04031526648374373,0.0163932173529087
6,3,64,7,0.041653325547586495,0.0019372364815933851,0.03971608906599311,0.0163932173529087
6,5,64,11,0.03789743925935496,0.0019372364815933851,0.035960202777761574,0.0613927895186903
6,7,64,15,0.030211066597726433,0.0019372364815933851,0.028273830116133047,0.567492622672862
6,9,64,19,0.029648293177777396,0.0019372364815933851,0.02771105669618401,0.108384662951867
6,11,64,23,0.02769704326224931,0.0019372364815933851,0.025759806780655925,0.406596617455703
7,1,128,3,0.044637283843117825,0.0009728009170741903,0.043664482926043635,0.686358814888367
7,3,128,7,0.04463728792367855,0.0009728009170741903,0.04366448700660436,0.677251505074513
7,5,128,11,0.042542540222390346,0.0009728009170741903,0.041569739305316156,0.0136338004813268
7,7,128,15,0.03695042733524723,0.0009728009170741903,0.035977626418173037,0.838987327683984
7,9,128,19,0.037416948887192825,0.0009728009170741903,0.036444147970118634,0.0191377317825348
7,11,128,23,0.037280624072506874,0.0009728009170741903,0.036307823155432684,0.0302354140699961
8,1,256,3,0.04615970081861687,0.000487440096909042,0.045672260721707825,0.00407058808150262
8,3,256,7,0.04615970433681682,0.000487440096909042,0.04567226423990778,0.00135563752510115
8,5,256,11,0.044940726222111205,0.000487440096909042,0.04445328612520216,0.00679289961561014
8,7,256,15,0.040493966383991165,0.000487440096909042,0.04000652628708212,0.836494336592618
8,9,256,19,0.04157220958031427,0.000487440096909042,0.041084769483405226,0.792282678662254
8,11,256,23,0.04250917030424617,0.000487440096909042,0.04202173020733713,0.612673573077057
