partition_kind,q,depth,exponent,layer_dependent,n_cells,mitigation_fraction,normalized_total_value,median_value,max_value,min_value,worst_cell_wall_excess,time
geometric_x,3,6,1/2,False,64,1/32,-16.6418564352584,-0.01960833008426039,0.0016039358452630634,-0.04100290195990563,0.041210041048530065,21.938593864440918
geometric_x,3,6,1/2,True,64,3/64,-10.698554983256834,-0.015447138128961863,0.0023557216891545666,-0.021800052562278745,0.021841284895803118,22.413218021392822
uniform_x,3,6,1/2,False,64,1/32,-14.968564878993956,-0.018124906093462533,0.0027848499435917757,-0.037622853127633256,0.037731634513838486,25.874251127243042
uniform_x,3,6,1/2,True,64,3/64,-12.472252803960057,-0.017464935549217908,0.0031591213539457924,-0.024255262667190945,0.024275901564513452,25.638474941253662
